,'Alopecurus myo','Digitaria isch','Echinochloa cr','Elymus repens','Poa annua L.','Setaria viridi','Amaranthus ret','Atriplex patul','Brassica napus','Capsella bursa','Chenopodium al','Cirsium arvens','Convolvulus ar','Equisetum arve','Fallopia convo','Fumaria offici','Galium aparine','Galinsoga parv','Geranium pusil','Lamium album L.','Matricaria rec','Mercurialis an','Persicaria lap','Persicaria mac','Polygonum avic','Rumex obtusifo','Solanum nigrum','Sonchus arvens','Stellaria medi','Thlaspi arvens','Veronica arven','Viola arvensis'
spost15,0,0,0,0,0,0,0.33,0.33,0.9,0.9,0.33,0,0,0,0,0.9,0.66,0.66,0.33,0.33,0.66,0.33,0.33,0.33,0,0,0.66,0,0.66,0,0.33,0.33
spost16,0.25,1,1,0,1,1,1,1,1,0.9,1,0,0.66,0,1,0.9,1,1,0.75,1,1,1,1,1,1,0,1,0,1,0.9,1,1
spost17,0.25,0.75,0.75,0,1,0.75,1,1,1,0.9,1,0,0,0,0.75,0,0.75,1,0.75,1,0.75,0.66,1,1,0.66,0,1,0,1,0.9,1,1
spost18,1,0.75,1,0.75,1,1,0.75,1,1,0.9,1,0.33,0,0,0.75,0.9,1,1,0.75,1,1,0.66,1,1,0.66,0,1,0.33,1,0.9,1,0.66
spost19,0.33,0.75,1,0,1,0.75,0.5,0.75,0.75,0.9,1,0,0,0,0.5,0,0.75,0.5,0.75,0.66,0.5,0.66,0.5,0.66,0.33,0,0.66,0,0.66,0.9,1,0.66
spost20,0.75,1,1,0,1,1,1,1,1,0.9,1,0.33,0,0,0.75,0,1,1,0.75,0.66,1,0.66,1,0.66,0.33,0,1,0.9,0.66,0.9,1,0.66
spost21,0.25,0.66,0.75,0,0.66,0.75,1,1,1,0.9,1,0.33,0.25,0,0.66,0,0.75,1,0.75,0.66,1,0.66,1,0.66,0.33,0.25,1,0.9,1,0.9,1,0.66
spost22,0.25,0.75,1,0,1,0.75,1,1,1,0.9,1,0.33,0,0,0.66,0,0.75,1,0.75,0.66,0.66,0.66,1,0.66,0.33,0,1,0.9,0.66,0.9,1,0.66
spost23,0.66,1,1,1,1,1,1,1,1,0.9,1,0.9,0,0.33,0.75,0.9,0.75,1,0.75,1,1,0.66,1,0.66,0.66,0.9,1,0,1,0.9,1,1
spost24,1,0.75,1,0.75,1,1,0.75,0.25,1,0.9,0.5,0.33,0.66,0,0.75,0,0.75,0.75,0.25,0.66,1,0.66,1,0.66,0.33,0.5,0.25,0.33,1,0.9,0,0.33
spost25,1,1,1,0.75,1,1,1,1,1,0.9,1,0.33,0,0,0.75,0.9,0.75,1,0.75,0.66,1,0.33,1,0.33,0.33,0,1,0.33,0.66,0.9,1,0.66
spost26,0.25,1,1,0,1,0.75,1,1,1,0.9,1,0,0,0,1,0.9,1,1,0.75,1,1,0.66,1,1,0.66,0,1,0,1,0.9,1,1
spost27,1,0.75,1,0.75,1,1,1,1,1,0.9,1,0.33,0.25,0,1,0,0.75,1,0.75,0.66,1,0.66,0.5,0.66,0.33,0.25,1,0.9,1,0.9,1,0.66
spost28,0.66,0.75,1,1,1,0.66,1,1,1,0.9,1,0.9,0,0.33,0.75,0.9,1,1,0.75,1,1,0.66,1,1,0.66,0.9,1,0,1,0.9,1,1
spost29,1,0.75,1,0.75,1,1,1,1,1,0.9,1,0.5,0.75,0,1,0.9,1,0.75,0.75,1,1,0.66,1,1,0.66,0.75,0.75,0.9,1,0.9,1,1
spost30,0.75,0.5,1,0,0.75,0.75,1,1,1,0.9,1,0.5,0.75,0,1,0,1,1,0.75,1,1,0.66,1,1,0.66,0.75,1,0.9,1,0.9,1,1
spost31,0.25,1,1,0,1,1,1,1,1,0.9,1,0.5,0.75,0,1,0.9,1,1,0.75,0.66,1,1,1,1,1,0.75,1,0.9,1,0.9,1,1
spost32,1,0.75,1,0.75,1,1,0.75,1,1,0.9,1,0.33,0.66,0,0.75,0.9,1,0.75,0.75,1,1,0.66,1,1,0.66,0.5,0.75,0.33,1,0.9,1,1
spost33,0.66,0.75,1,1,1,0.75,1,1,1,0.9,1,0.9,0,0.33,0.5,0,0.75,1,0.75,1,1,0.66,1,0.66,0.66,0.9,1,0.9,1,0.9,1,1
spost34,1,1,1,0.75,1,1,1,1,1,0.9,1,0.33,0.66,0,0.75,0,1,1,0.75,0.66,1,0.66,1,0.66,0.33,0.5,1,0.9,1,0.9,1,0.66
spost35,0.75,1,1,0,1,1,1,1,1,0.9,1,0.5,0.75,0,1,0,1,1,0.75,0.66,1,0.66,1,0.66,0.66,0.75,1,0.9,1,0.9,1,0.66
spost36,1,0.75,1,0.75,1,1,0.75,1,1,0.9,1,0,0.66,0,1,0,0.75,0.75,0.75,1,1,0.66,1,0.66,0.66,0.25,1,0.9,1,0.9,1,0.66
spost37,1,0.75,1,0.75,1,1,1,1,1,0.9,1,0.33,0,0,1,0,0.75,1,0.75,0.66,1,0.66,1,0.66,0.33,0,1,0.9,0.66,0.9,1,0.66
spost38,1,0.75,1,0.75,1,1,1,1,1,0.9,1,0.33,0.66,0,0.75,0,0.75,1,0.75,1,1,0.66,1,1,0.66,0.5,1,0.9,1,0.9,1,1
spost39,0.75,1,1,1,1,1,1,1,1,0.9,1,0.9,0,0.33,0.75,0,1,1,0.75,1,1,0.66,1,0.66,0.66,0.9,1,0.9,1,0.9,1,1
spost40,1,1,1,0.75,1,1,1,1,1,0.9,1,0.33,0.66,0,1,0.9,1,1,0.75,1,1,0.66,1,0.66,0.66,0.33,1,0.9,0.66,0.9,1,0.66
