Municipality,GMAverage,Pre-Sow-Herbicide,Post-Sow-Herbicide
Blomberg    ,      229.48,spre5       ,spost1
BadLaasphe  ,      572.94,spre5       ,spost18
NeunkirchenS,      275.16,spre5       ,spost1
Schalksmuehl,      682.92,spre5       ,spost3
Dortmund    ,      262.69,spre3       ,spost1
Neunkirchen ,      167.24,spre5       ,spost1
Boenen      ,      854.05,spre3       ,spost53
Rietberg    ,      271.73,spre5       ,spost1
KampLintfort,      260.81,spre3       ,spost1
Kranenburg  ,      235.61,spre3       ,spost1
Willich     ,      231.64,spre3       ,spost1
Drensteinfur,      161.80,spre3       ,spost1
Minden      ,      809.71,spre5       ,spost14
Moehnesee   ,      757.54,spre5       ,spost12
Hemer       ,      153.98,spre5       ,spost1
BadHonnef   ,      819.53,spre5       ,spost12
Reichshof   ,      126.59,spre5       ,spost1
Juelich     ,      193.82,spre3       ,spost1
Borchen     ,       12.59,spre5       ,spost1
Hiddenhausen,      286.42,spre3       ,spost1
Nuembrecht  ,      733.90,spre5       ,spost21
MonheimamRhe,      264.94,spre1       ,spost1
NeukirchenVl,      246.80,spre3       ,spost1
Rheinbach   ,      234.68,spre5       ,spost1
HennefSieg  ,      280.86,spre5       ,spost1
Swisttal    ,      214.29,spre5       ,spost1
Lohmar      ,      277.12,spre5       ,spost1
Weilerswist ,      180.94,spre5       ,spost1
Borgentreich,      610.39,spre3       ,spost51
PortaWestfal,      245.71,spre3       ,spost1
Merzenich   ,      226.13,spre3       ,spost1
Brilon      ,      631.90,spre5       ,spost13
Kaarst      ,      269.70,spre3       ,spost1
Marl        ,      817.92,spre3       ,spost36
Dorsten     ,      253.23,spre3       ,spost1
Oerlinghause,      177.15,spre5       ,spost1
Grefrath    ,      279.14,spre3       ,spost1
Nettersheim ,      466.10,spre5       ,spost3
Rhede       ,      237.82,spre5       ,spost1
Altena      ,      699.27,spre5       ,spost14
WetterRuhr  ,      167.99,spre3       ,spost1
BadDriburg  ,      628.71,spre2       ,spost12
Ruppichterot,      256.32,spre5       ,spost1
Siegburg    ,      310.59,spre3       ,spost1
Hagen       ,      728.57,spre5       ,spost21
Herscheid   ,      546.26,spre4       ,spost36
Altenbeken  ,      565.09,spre5       ,spost12
Meckenheim  ,      244.39,spre5       ,spost1
Reken       ,      241.01,spre3       ,spost1
Leopoldshoeh,      875.46,spre3       ,spost52
Wegberg     ,      272.41,spre5       ,spost1
Dueren      ,      811.66,spre5       ,spost3
Ladbergen   ,      229.43,spre5       ,spost1
Neuenkirchen,      211.82,spre5       ,spost1
Lindlar     ,      612.77,spre5       ,spost12
Kempen      ,      262.96,spre3       ,spost1
Legden      ,      216.64,spre5       ,spost1
Rommerskirch,      837.81,spre5       ,spost3
Hueckeswagen,      611.19,spre6       ,spost12
Wadersloh   ,      818.56,spre5       ,spost39
Bornheim    ,      273.85,spre5       ,spost1
Waldbroel   ,      745.88,spre5       ,spost3
Telgte      ,      256.51,spre5       ,spost1
Dormagen    ,      873.15,spre3       ,spost13
Nordkirchen ,      251.27,spre3       ,spost1
Niederkassel,      354.17,spre3       ,spost1
Balve       ,      162.39,spre5       ,spost1
Billerbeck  ,      175.36,spre3       ,spost1
Altenberge  ,      242.72,spre5       ,spost1
Heiligenhaus,      302.64,spre5       ,spost1
Ochtrup     ,      274.65,spre5       ,spost1
Velen       ,      257.49,spre5       ,spost1
Wassenberg  ,      259.59,spre5       ,spost1
Harsewinkel ,      245.39,spre5       ,spost1
Erftstadt   ,      198.66,spre5       ,spost1
Rees        ,      269.44,spre3       ,spost1
Heek        ,      282.61,spre5       ,spost1
Hoexter     ,      707.12,spre5       ,spost36
Vlotho      ,      832.48,spre3       ,spost23
Aldenhoven  ,      224.07,spre5       ,spost1
EsloheSauerl,      545.00,spre4       ,spost52
Dahlem      ,      460.74,spre5       ,spost12
Gescher     ,      831.44,spre5       ,spost7
Wachtendonk ,      837.33,spre3       ,spost23
Herne       ,      312.34,spre3       ,spost1
HalternamSee,      799.02,spre3       ,spost36
Toenisvorst ,      255.56,spre3       ,spost1
Moers       ,      257.84,spre3       ,spost1
Schlangen   ,      616.83,spre5       ,spost3
Meschede    ,      618.23,spre5       ,spost14
Dinslaken   ,      291.45,spre5       ,spost1
Kerpen      ,      185.35,spre3       ,spost1
Koenigswinte,      289.30,spre5       ,spost1
Kierspe     ,      536.81,spre3       ,spost16
Marienheide ,      384.08,spre5       ,spost12
Winterberg  ,      451.13,spre5       ,spost12
Aachen      ,      230.93,spre5       ,spost1
Alsdorf     ,      289.44,spre5       ,spost1
Baesweiler  ,      249.22,spre5       ,spost1
Eschweiler  ,      834.99,spre5       ,spost3
Herzogenrath,      836.25,spre5       ,spost16
Monschau    ,      509.08,spre5       ,spost12
Roetgen     ,      621.89,spre5       ,spost5
Simmerath   ,      463.03,spre5       ,spost12
StolbergRhld,      640.89,spre5       ,spost18
Vreden      ,      252.82,spre5       ,spost1
Wuerselen   ,      260.86,spre5       ,spost1
