Agent,activity01,activity02,activity03,activity04,activity05,activity06,activity07,activity08,activity09,activity10,activity11,activity12,activity13,activity14,activity15,activity16,activity17,activity18,activity19,activity20,activity21,activity22,activity23,activity24,activity25,activity26,activity27,activity28,activity29,activity30,activity31,activity32,activity33,activity34,activity35,activity36,activity37,activity38,activity39,activity40,activity41,activity42,activity43,activity44,activity45,activity46,activity47,activity48,activity49,activity50,activity51,activity52,activity53,activity54,activity55,activity56,activity57,activity58,activity59,activity60,activity61,activity62,activity63,activity64,activity65,activity66,activity67,activity68,activity69,activity70,activity71,activity72
Hamm                     ,13.26,25.52,37.13,-30.28,27.04,-5.88,232.76,247.84,180.78,238.08,205.18,237.82,170.8,228.09,231.41,162.27,219.57,243.31,258.63,189.5,246.79,213.89,246.12,179.11,236.4,242.83,173.69,230.99,236.29,169.26,226.56,232.82,246.17,179.16,236.45,203.55,204.25,137.2,194.49,216.45,149.4,206.69,201.19,214.57,171.95,203.33,216.67,174.05,175.42,188.75,146.12,201.58,134.56,191.85,223.83,156.82,214.11,208.91,141.9,199.2,236.38,249.31,182.12,231.42,244.78,177.64,195.24,209.97,142.87,157.6,172.52,105.44
Hamminkeln               ,45.17,59.94,65.12,7.98,65.55,34.91,267.67,273.84,217.24,274.75,244.17,266.61,210.08,267.59,257.08,200.52,258.03,278.37,284.83,228.27,285.79,255.2,275.46,218.95,276.46,269.22,212.66,270.18,265.18,208.63,266.15,268.44,275.07,218.55,276.06,245.47,229.94,173.35,230.87,242.16,185.57,243.09,235.23,244.03,214.44,239.24,245.88,216.28,211.17,217.78,188.19,230.35,173.83,231.34,252.41,195.87,253.39,238.48,181.97,239.48,268.75,275.76,218.94,263.69,271.19,212.35,228.74,234.45,177.77,191.32,197.25,140.6
Hellenthal               ,-145.19,-150.42,-135.52,-194.38,-139.24,-170.32,17.79,34.65,-23.26,31.68,0.77,24.61,-33.08,21.81,13.68,-44.19,10.73,29.09,46.4,-11.3,43.59,12.72,34.33,-23.28,31.59,25.17,-32.69,22.24,19.73,-38.1,16.82,15.59,32.93,-24.75,30.14,-0.73,-12.94,-70.88,-15.94,-1.81,-59.8,-4.85,-14.89,2.56,-31.04,-10.95,6.56,-27.02,-39.93,-22.51,-56.13,-11.96,-69.65,-14.76,9.03,-48.71,6.19,-2.48,-60.08,-5.21,34.02,49.99,-8.35,22.57,38.85,-19.34,-16.26,0.24,-57.84,-56.05,-39.38,-97.38
Hilden                   ,37.78,56.36,68.41,0.62,57.99,25.02,267.04,281.78,214.28,271.63,238.68,274.71,207.25,264.6,266.18,198.71,256.06,277.83,292.81,225.34,282.68,249.74,282.88,215.31,272.65,277.73,210.26,267.61,273.55,206.09,263.44,267.93,283.04,215.59,272.93,239.99,238.9,171.41,228.76,252.17,184.69,242.03,236.23,251.36,208.31,238.14,253.25,210.19,210.33,225.42,182.36,238.46,171,228.35,260.74,193.28,250.63,245.65,178.08,235.43,271.23,284.98,215.27,267.13,279.2,211.64,232.45,244.79,177.27,192.89,207.51,140
Hoevelhof                ,-274.54,-217.08,-225.15,-284.92,-227.1,-257.96,96.61,95.42,36.6,94.35,63.55,154.77,95.61,153.33,106.14,47.49,105.23,137.29,137.52,74.72,132.46,101.67,175.33,117,174.72,130.09,71.53,129.27,140.81,82.34,140.06,164.25,165.47,107.09,164.81,134.04,62.45,3.7,61.45,75.14,16.39,74.14,145.52,147.27,115.91,133.95,135.13,103.7,102.08,103.86,72.41,119.37,60.21,117.93,136.46,78.04,135.76,145.76,87.48,145.19,12.93,7.3,-52.13,28.7,24.32,-34.93,14.5,11.22,-47.88,-4.64,-7.01,-65.99
Holzwickede              ,30.07,42.3,59.46,-5.86,51.17,18.51,248.47,266.67,201.93,258.9,226.29,259.46,194.81,251.77,249.32,184.62,241.59,259.35,277.86,213.18,270.14,237.54,268.51,203.88,260.83,261.01,196.32,253.28,256.35,191.67,248.63,249.19,267.86,203.21,260.17,227.57,221.05,156.32,213.29,232.7,167.96,224.93,218.05,236.78,196.49,220.61,239.33,199.04,192.18,210.85,170.55,223.2,158.55,215.51,245.1,180.45,237.41,231.41,166.78,223.74,250.22,268.09,203.11,243.78,263.24,198.35,208.78,226.47,161.64,171.42,189.34,124.55
Hopsten                  ,-241.59,58.71,62.74,5.03,62.68,31.98,268.73,273.72,216.48,274.1,243.42,265.56,208.39,266,256.08,198.88,256.48,278.3,283.51,226.31,283.92,253.25,274.06,216.9,274.51,268.99,211.8,269.4,264.66,207.48,265.09,268.6,273.98,216.81,274.42,243.75,229.57,172.35,229.96,242.21,184.99,242.6,235.5,243.05,212.83,239.27,244.66,214.43,211.44,216.82,186.59,229.38,172.21,229.81,251.43,194.26,251.87,237.46,180.3,237.9,269.74,275.62,218.2,264.97,271.32,211.87,230.04,234.6,177.3,192.53,197.29,140.03
Issum                    ,-3.63,8.16,19.35,-44.36,6.58,-25.34,215.69,228.24,164.79,215.72,183.81,219.28,155.86,206.79,211.16,147.73,198.66,225.12,237.86,174.44,225.36,193.45,227.3,163.89,214.82,223.04,159.61,210.54,218.41,154.99,205.92,213.62,227.58,164.17,215.09,183.18,184.46,121.03,171.95,197.24,133.8,184.73,181.96,195.95,151.55,184.04,198,153.6,156.21,170.16,125.76,182.99,119.58,170.5,205.34,141.92,192.85,190.18,126.77,177.69,219.45,232.19,168.64,214.32,227.45,162.84,178.98,191.25,127.77,141.09,153.51,90.05
Juechen                  ,33.22,44.09,65.07,2.52,59,26.81,245.97,268.22,206.54,262.9,230.81,261.07,199.53,255.87,250.5,188.88,245.23,257.34,279.97,218.39,274.73,242.65,271.23,209.73,266.06,260.32,198.69,255.04,255.68,194.06,250.41,246.9,269.71,208.17,264.51,232.44,220.12,158.42,214.79,231.88,170.17,226.53,215.32,238.17,200.91,219.12,242.01,204.76,190.16,212.98,175.71,224.9,163.36,219.7,246.23,184.68,241.02,233.15,171.63,227.97,247.43,269.15,207.08,240.08,263.42,199.38,204.71,226.3,164.46,167.26,189.11,127.32
Kirchlengern             ,39.89,58.41,73.05,6.22,63.48,30.61,267.88,285.48,219.06,276.29,243.45,278.36,211.99,269.22,269.43,203.04,260.27,278.75,296.63,230.25,287.47,254.63,286.72,220.37,277.59,280.73,214.35,271.57,276.27,209.78,267,268.85,286.76,220.4,277.62,244.79,241.53,175.12,232.35,253.85,187.44,244.66,237.23,255.18,213.21,239.37,257.28,215.31,211.35,229.36,187.27,242.11,175.75,232.97,264.38,197.9,255.12,249.59,183.23,240.46,270.72,285.06,218.48,266.32,281.12,214.61,231.64,246.75,180.27,192.2,209.61,143.17
Lengerich                ,28.31,42.16,46.01,-11.12,46.42,15.81,247.38,255.06,196.36,255.96,223.28,244.63,188.1,245.59,236.95,178.28,235.77,256.7,262.51,205.95,263.44,232.87,253.24,196.72,254.2,247.29,190.73,248.22,242.72,186.17,243.66,247.09,253.09,196.56,254.05,223.49,209.53,150.83,208.32,221.98,163.28,220.77,215.94,221.99,192.4,218.03,224.04,194.44,189.89,195.88,166.27,208.43,151.9,209.39,230.29,173.76,231.25,216.47,159.96,217.44,250.06,255.38,198.56,244.6,250.41,193.67,208.27,215.49,158.8,170.65,178.07,121.43
Leverkusen               ,44.85,62.3,81.27,17.47,74.3,41.82,267.88,291.41,228.26,285,252.59,283.1,220.16,276.89,273.2,210.09,266.83,278.76,302.51,239.54,296.27,263.87,292.93,230.02,286.75,284.66,221.55,278.29,280.32,217.35,274.09,267.92,291.82,228.89,285.62,253.22,245,181.84,238.59,256.94,193.77,250.52,237.06,261.03,222.45,239.92,263.89,225.3,211.45,235.37,196.78,246.8,183.86,240.59,268.67,205.72,262.46,255.71,192.79,249.53,268.23,288.11,224.73,262.83,283.24,219.97,227.91,248.68,185.5,190.68,211.71,148.58
Lippetal                 ,-287.68,-246.15,-243.44,-311.9,-254.53,-287.5,45.29,54.07,-13.53,43.78,10.86,131.75,64.67,121.95,80.35,13,70.29,103.61,114.52,47.21,104.5,71.6,159.25,91.51,148.77,93.01,25.67,82.96,105.16,37.91,95.2,131.08,143.77,76.72,133.99,101.11,23.36,-44.16,13.14,33.7,-33.83,23.47,108.86,121.95,79.34,100.96,113.62,70.95,71.1,79.33,36.62,96.26,29.18,86.46,113.87,46.77,104.04,122.22,55.26,112.52,-27.83,-23.1,-91.28,-16.43,-10.62,-78.65,-33.17,-26.35,-94.24,-53.3,-45.6,-113.37
Lotte                    ,41.66,56.94,60.91,3.61,61.19,30.54,264.38,270.11,213.32,270.85,240.25,262.27,205.55,263.08,252.64,195.88,253.41,274.19,280.18,223.43,280.96,250.36,270.87,214.16,271.69,265.05,208.31,265.84,260.72,203.99,261.52,264.58,270.74,214.02,271.55,240.95,225.67,168.9,226.43,238.02,181.24,238.77,233.43,239.64,209.86,235.28,241.45,211.66,207.32,213.48,183.68,226.14,169.42,226.95,248.06,191.33,248.86,234.12,177.42,234.95,266.85,272.35,215.35,260.69,267.77,210.86,225.65,230.94,174.08,188.11,193.61,136.78
Luedinghausen            ,37,51.91,65.71,2.54,53.43,21.55,264.58,279.08,216.24,267.11,235.25,270.91,208.11,258.98,262.61,199.8,250.67,272.61,289.43,226.62,277.49,245.63,279.05,216.26,267.13,274.13,211.32,262.19,269.52,206.71,257.58,262.3,279.26,216.46,267.33,235.47,235.45,172.62,223.49,248,185.17,236.04,230.68,247.66,203.88,232.77,249.72,205.93,204.92,221.86,178.07,234.68,171.88,222.76,256.97,194.17,245.05,241.97,179.18,230.05,265.71,281.24,218.27,261.39,275.25,212.34,226.6,240.75,177.87,189.1,203.43,140.57
