,income_t-1,income_t-2,income_t-3,income_t-4,income_t-5,income_t-6
Meckenheim,920.71,933.99,954.38,945.73,545.5,545.5
Reken,915.97,963.49,1003.35,952.9,611.59,611.59
Leopoldshoehe,1185.02,1077.84,1176.16,974.54,824.43,824.43
Wegberg,965.51,998.6,950.61,930.62,711.75,711.75
Dueren,938.62,897.33,938.86,975.1,645.33,645.33
Ladbergen,990.81,997.63,1083.04,935.82,661.38,661.38
Neuenkirchen,1017.72,1008.69,1031.15,926.62,693.37,693.37
Lindlar,795.35,735.62,779.79,700.55,437,437
Kempen,994.84,975.16,1028.97,920.44,733.27,733.27
Legden,1040.5,983.84,992.49,946.88,666.98,666.98
Rommerskirchen,1006.86,979.2,1065.31,984.87,712.06,712.06
Hueckeswagen,924.99,769.22,841.41,739.8,485.8,485.8
Wadersloh,979.81,1032.63,1086.12,978.23,686.23,686.23
Bornheim,884.74,846.99,891.05,910.58,554.79,554.79
Waldbroel,907.58,947.68,942.94,892.61,664.18,664.18
Telgte,1128.23,1019.13,1096.41,981.41,597.77,597.77
Dormagen,929.44,943.6,1077.04,1000.35,713.74,713.74
Nordkirchen,1061.74,1024.5,1073.38,960.12,604.2,604.2
Niederkassel,928.48,909.23,1034.85,963.35,620.69,620.69
Balve,1069.95,972.98,992.49,854.13,624.72,624.72
Billerbeck,957.81,932.03,962.8,903.92,588.96,588.96
Altenberge,982.72,986.69,1090.62,949.2,673.83,673.83
Heiligenhaus,1127.57,1019.42,1143.72,1009.45,791.15,791.15
Ochtrup,1112.91,1075.6,1109.33,974.54,737.45,737.45
Velen,960.5,1000.05,1029.27,969.66,679.16,679.16
Wassenberg,952.29,1013.13,879.46,906.29,673.08,673.08
Harsewinkel,1089.59,1058.8,1053.81,948.45,737.68,737.68
Erftstadt,841.35,830.84,848.85,892.95,568.43,568.43
Rees,1043.47,1034.48,988.24,988.07,779.98,779.98
Heek,1207.37,1098.83,1150.4,1018.11,763.29,763.29
Hoexter,925.22,980.27,999.93,884.68,729.8,729.8
Vlotho,1139.65,1085.68,1140.87,966.94,820.52,820.52
Aldenhoven,874.15,918.56,882.11,977.58,647.45,647.45
EsloheSauerland,1033.95,908.4,927.12,811.57,615.22,615.22
Dahlem,698.34,566.2,661.38,579.37,341.88,341.88
Gescher,957.86,1000.72,1030.57,979.41,689.1,689.1
Wachtendonk,995.47,989.59,1029.17,893.87,758.84,758.84
Herne,1107.42,1032.08,1110.93,1023.91,703.1,703.1
HalternamSee,1023.07,985.62,1062.02,977.28,598.35,598.35
Toenisvorst,1062.17,992.8,1024.33,946.15,705.16,705.16
Moers,967.25,977.56,975.84,864.52,633.08,633.08
Schlangen,736.09,809.38,876.58,746.96,591.22,591.22
Meschede,999.07,905.52,919.45,820.07,634.86,634.86
Dinslaken,1079.44,1045.43,1052.48,974.08,706.02,706.02
Kerpen,876.05,908.75,948.83,948.84,622.92,622.92
Koenigswinter,919.79,914.27,896.03,924.11,612.03,612.03
Kierspe,953,759.84,795.78,675.61,509.37,509.37
Marienheide,614.06,532.49,539.14,484.65,250.25,250.25
Winterberg,902.86,664.21,664.52,591.08,460.7,460.7
Aachen,962.12,913.39,994.81,913.46,600.41,600.41
Alsdorf,981.51,997,1021.24,996.44,608.55,608.55
Baesweiler,913.86,975.8,961.79,981.51,627.41,627.41
Eschweiler,963.97,948.05,957.49,978.47,664.35,664.35
Herzogenrath,983.61,991.2,1031.38,973.34,593.09,593.09
Monschau,722.88,629.28,696.17,640.84,381.1,381.1
Roetgen,854.89,744.33,822.03,721.52,527.52,527.52
Simmerath,628.85,560.95,633.87,546.83,361.13,361.13
StolbergRhld,762.34,723.79,799.43,725.97,492.11,492.11
Vreden,1002.24,1021.45,1032.16,961.67,681.21,681.21
Wuerselen,953.12,956.22,1000.25,958.52,571.87,571.87
