,,,'Alopecurus myo','Digitaria isch','Echinochloa cr','Elymus repens','Poa annua L.','Setaria viridi','Amaranthus ret','Atriplex patul','Brassica napus','Capsella bursa','Chenopodium al','Cirsium arvens','Convolvulus ar','Equisetum arve','Fallopia convo','Fumaria offici','Galinsoga parv','Galium aparine','Geranium pusil','Lamium album L.','Matricaria rec','Mercurialis an','Persicaria lap','Persicaria mac','Polygonum avic','Rumex obtusifo','Solanum nigrum','Sonchus arvens','Stellaria medi','Thlaspi arvens','Veronica arven','Viola arvensis'
Harrowing,WeatherDuesseldorf,tt2000,-184,299.7,0,-176,-200,299.7,0,0,-501.6,-489.4,-489.4,-160,-144,-168,-160,-168,0,-340.1,-144,-192,-429.2,0,0,0,-216,0,0,0,-160,-208,-369.6,-256.1
Harrowing,WeatherDuesseldorf,tt2001,-345.6,173.4,-48,-324.6,-387.6,173.4,-55,-193.5,-583.4,-568.8,-568.8,-284,-245.1,-304,-284,-304,-102.5,-398.1,-245.1,-366.6,-497.5,-102.5,-148,-151.9,-430.5,-85.6,-84.3,-141.5,-284,-409,-429.7,-308
Harrowing,WeatherDuesseldorf,tt2002,-255.6,241.7,-1.7,-238.1,-290.6,241.7,-3.1,-51.1,-523.3,-510.1,-510.1,-203.1,-168.1,-220.6,-203.1,-220.6,-16.1,-347.9,-168.1,-273.1,-444.9,-16.1,-33.6,-35.1,-325.6,-9.9,-9.5,-31.1,-203.1,-308.1,-379.9,-257.5
Harrowing,WeatherDuesseldorf,tt2003,-240.7,268.2,0,-227.4,-268.9,268.2,0,0,-523,-510.8,-510.8,-201.4,-176.3,-214.4,-201.4,-214.4,0,-363.8,-176.3,-254.4,-450.3,0,0,0,-298.9,0,0,0,-201.4,-283.9,-392.3,-282.7
Harrowing,WeatherDuesseldorf,tt2004,-286.8,179.7,-7.8,-270.3,-319.8,179.7,-9.9,-42.9,-510.7,-498.1,-498.1,-237.3,-205.9,-253.8,-237.3,-253.8,-21.9,-354.5,-205.9,-303.3,-437.8,-21.9,-32.4,-33.3,-352.8,-18,-17.7,-30.9,-237.3,-336.3,-381.7,-279.8
Harrowing,WeatherDuesseldorf,tt2005,-345,183.3,-23.3,-326,-383,183.3,-26.3,-108,-621.7,-609.1,-609.1,-288,-250.2,-307,-288,-307,-52,-455.8,-250.2,-364,-546.8,-52,-80,-82.4,-421,-42.7,-42,-76,-288,-402,-485.8,-369.3
Harrowing,WeatherDuesseldorf,tt2006,-300.5,195.5,-39.2,-282,-337.5,195.5,-43.4,-117.5,-473.7,-461.9,-461.9,-245.3,-209.5,-263.5,-245.3,-263.5,-68.5,-331.2,-209.5,-319,-406,-68.5,-93,-95.1,-374.5,-59.6,-59,-89.5,-245.3,-356,-355.3,-262.2
Harrowing,WeatherDuesseldorf,tt2007,-245.6,247.8,-15.7,-236.1,-264.6,247.8,-18.5,-62.5,-670.5,-657.5,-657.5,-217.1,-198.1,-226.6,-217.1,-226.6,-34.5,-495.7,-198.1,-255.1,-592.5,-34.5,-48.5,-49.7,-302.3,-29.3,-28.9,-46.5,-217.1,-292.3,-527.5,-401.9
Harrowing,WeatherDuesseldorf,tt2008,-343.8,208.7,-46.2,-323.3,-384.8,208.7,-52.5,-173.2,-578.2,-564.2,-564.2,-282.3,-243.2,-302.8,-282.3,-302.8,-96.2,-395.3,-243.2,-364.3,-494.8,-96.2,-134.7,-138,-425.8,-81.9,-80.8,-129.2,-282.3,-405.3,-428.3,-303.4
Harrowing,WeatherDuesseldorf,tt2009,-233.6,225.1,-10.8,-222.1,-256.6,225.1,-14.3,-89.3,-621.5,-607.9,-607.9,-199.1,-176.1,-210.6,-199.1,-210.6,-40.3,-437.9,-176.1,-245.1,-539.9,-40.3,-64.8,-66.9,-293.4,-31.2,-30.5,-61.3,-199.1,-281.4,-471.9,-341.6
Harrowing,WeatherDuesseldorf,tt2010,-333.3,114.9,-1.4,-310.3,-379.3,114.9,-2.8,-140.5,-592.6,-578.6,-578.6,-264.3,-218.3,-287.3,-264.3,-287.3,-29.9,-410,-218.3,-356.3,-510.1,-29.9,-84.5,-89.3,-425.3,-15.9,-15,-76.5,-264.3,-402.3,-443.1,-311.6
Harrowing,WeatherDuesseldorf,tt2011,-237.3,270.5,-1.5,-220.8,-259.3,270.5,-2.6,-51.2,-611.9,-598.7,-598.7,-195,-168.7,-210.3,-195,-210.3,-16.2,-440.3,-168.7,-248.3,-533.8,-16.2,-33.7,-35.2,-289.1,-10,-9.6,-31.2,-195,-277.6,-470.4,-351.6
Harrowing,WeatherDuesseldorf,tt2012,-355.8,181.3,66.4,-333.3,-400.8,181.3,51.5,-21.3,-684.5,-669.3,-669.3,-288.3,-243.7,-310.8,-288.3,-310.8,26.5,-479.3,-243.7,-378.3,-593.3,26.5,-14.3,-6,-445.8,38.6,38.6,-5.2,-288.3,-423.3,-517.3,-367
Harrowing,WeatherDuesseldorf,tt2013,-428.9,46.7,-30.7,-404.6,-480.4,46.7,-41.8,-278.8,-594.4,-580.6,-580.6,-357.4,-311.3,-380.9,-357.4,-380.9,-124.8,-424.7,-311.3,-454.4,-514.8,-124.8,-201.8,-208.4,-532.4,-96.2,-94,-190.8,-357.4,-506.4,-453.4,-341.3
Harrowing,WeatherDuesseldorf,tt2014,-231.9,273.4,47.6,-219.9,-255.9,273.4,47.6,47.6,-520.3,-509.3,-509.3,-195.9,-171.9,-207.9,-195.9,-207.9,47.6,-371.8,-171.9,-243.9,-454.3,47.6,47.6,47.6,-279.9,47.6,47.6,47.6,-195.9,-267.9,-399.3,-292.7
Harrowing,WeatherDuesseldorf,tt2015,-315.5,159.7,-21.2,-296,-354.5,159.7,-26.1,-121.9,-555.6,-541.6,-541.6,-257,-218.2,-276.5,-257,-276.5,-58.9,-366.7,-218.2,-335,-471.6,-58.9,-90.4,-93.1,-393.5,-47.3,-46.5,-85.9,-257,-374,-401.6,-269
Harrowing,WeatherGreven,tt1999,-334.7,179.5,-16.9,-314.7,-374.7,179.5,-22.5,-131.5,-591.5,-577.3,-577.3,-275.5,-237.5,-294.7,-275.5,-294.7,-61.5,-400,-237.5,-354.7,-506.3,-61.5,-96.5,-99.5,-414.7,-48.5,-47.5,-91.5,-275.5,-394.7,-435.3,-303.1
Harrowing,WeatherGreven,tt2000,-414.3,156.3,-15.5,-393.8,-455.3,156.3,-16.9,-58.1,-657.2,-643,-643,-353,-313,-373.3,-353,-373.3,-37.1,-466.6,-313,-434.8,-572,-37.1,-47.6,-48.5,-496.3,-33.2,-32.9,-46.1,-353,-475.8,-501.5,-366.6
Harrowing,WeatherGreven,tt2001,-241.6,220.2,-11.2,-224,-278.2,220.2,-14,-96.1,-419.1,-406.7,-406.7,-189.4,-157.2,-206.5,-189.4,-206.5,-40.1,-266.7,-157.2,-259.7,-348.3,-40.1,-68.1,-70.5,-315.9,-29.8,-29.1,-64.1,-189.4,-296.9,-293.3,-193.5
Harrowing,WeatherGreven,tt2002,-293.6,191.3,-11.9,-273.6,-333.6,191.3,-15.8,-117.8,-540.6,-526.5,-526.5,-233.6,-194.5,-253.6,-233.6,-253.6,-47.8,-355.8,-194.5,-313.6,-456.5,-47.8,-82.8,-85.8,-373.6,-34.8,-33.8,-77.8,-233.6,-353.6,-388.4,-263
Harrowing,WeatherGreven,tt2003,-229.6,241.2,-0.1,-216.3,-257.5,241.2,-0.8,-11.8,-477.2,-465,-465,-190.6,-166.2,-203.3,-190.6,-203.3,-4.8,-321.9,-166.2,-243.1,-404.6,-4.8,-8.3,-8.6,-287.7,-3.5,-3.4,-7.8,-190.6,-272.5,-348.7,-247.7
Harrowing,WeatherGreven,tt2004,-241.6,189.9,0,-226.6,-271.6,189.9,0,0,-437.2,-425.8,-425.8,-196.6,-167.4,-211.6,-196.6,-211.6,0,-297,-167.4,-256.6,-370.8,0,0,0,-301.6,0,0,0,-196.6,-286.6,-321,-229.8
Harrowing,WeatherGreven,tt2005,-258.9,207.5,-6.9,-243.4,-289.9,207.5,-7.6,-18.6,-493.6,-482.4,-482.4,-212.4,-182.1,-227.9,-212.4,-227.9,-11.6,-348.9,-182.1,-274.4,-427.8,-11.6,-15.1,-15.4,-320.9,-10.3,-10.2,-14.6,-212.4,-305.4,-374.5,-277
Harrowing,WeatherGreven,tt2006,-222.8,242.4,-8.6,-206.3,-255.8,242.4,-10,-40.2,-370.8,-360.8,-360.8,-174.2,-143.3,-190.2,-174.2,-190.2,-19.2,-249.8,-143.3,-239.3,-314.8,-19.2,-29.7,-30.6,-288.8,-15.4,-15.2,-28.2,-174.2,-272.3,-270.9,-188.6
Harrowing,WeatherGreven,tt2007,-341.5,246.2,-4.2,-325.5,-373.5,246.2,-5.6,-27.6,-605.5,-592.9,-592.9,-293.5,-261.5,-309.5,-293.5,-309.5,-13.6,-437.8,-261.5,-357.5,-530.1,-13.6,-20.6,-21.2,-405.5,-11,-10.8,-19.6,-293.5,-389.5,-468.3,-348.8
Harrowing,WeatherGreven,tt2008,-202.9,282.2,-0.2,-186.4,-235.9,282.2,-0.9,-32.8,-407.3,-395.1,-395.1,-154.6,-126.1,-170.2,-154.6,-170.2,-11.8,-249.2,-126.1,-219.4,-334.9,-11.8,-22.3,-23.2,-268.9,-7.9,-7.6,-20.8,-154.6,-252.4,-276.8,-176.6
Harrowing,WeatherGreven,tt2009,-313.9,258.7,6.6,-299.4,-342.9,258.7,6.6,6.6,-512.6,-500.6,-500.6,-270.4,-241.4,-284.9,-270.4,-284.9,6.6,-351.7,-241.4,-328.4,-440.6,6.6,6.6,6.6,-371.9,6.6,6.6,6.6,-270.4,-357.4,-380.6,-269.8
Harrowing,WeatherGreven,tt2010,-204.1,151.2,7.2,-189.6,-233.1,151.2,7.2,7.2,-418.6,-408.2,-408.2,-160.6,-131.6,-175.1,-160.6,-175.1,7.2,-280.6,-131.6,-218.6,-356.2,7.2,7.2,7.2,-262.1,7.2,7.2,7.2,-160.6,-247.6,-305.6,-210.2
Harrowing,WeatherGreven,tt2011,-239,299.7,37.8,-226.5,-264,299.7,37.8,37.8,-416.9,-406.7,-406.7,-201.5,-176.5,-214,-201.5,-214,37.8,-283,-97.4,-130.4,-355.7,37.8,37.8,37.8,-289,37.8,37.8,37.8,-201.5,-276.5,-306.4,-217.1
Harrowing,WeatherGreven,tt2012,-157.4,305,19.3,-143.4,-185.4,305,19.3,19.3,-435.7,-423.9,-423.9,-115.4,-90.6,-129.4,-115.4,-129.4,19.3,-276.5,-90.6,-171.4,-364.9,19.3,19.3,19.3,-213.4,19.3,19.3,19.3,-115.4,-199.4,-305.9,-192.7
Harrowing,WeatherGreven,tt2013,-263.6,137.8,-13.6,-247,-299.1,137.8,-17.9,-94.9,-372.3,-362.3,-362.3,-216.1,-186.1,-231.5,-216.1,-231.5,-45.9,-249.6,-186.1,-281.1,-313.7,-45.9,-70.4,-72.5,-335.9,-36.8,-36.1,-66.9,-216.1,-317.4,-269.1,-195
Harrowing,WeatherGreven,tt2014,-296.3,212.2,-0.3,-280.8,-327.3,212.2,-1,-12,-577.4,-565,-565,-249.8,-218.8,-265.3,-249.8,-265.3,-5,-410.1,-218.8,-311.8,-503,-5,-8.5,-8.8,-358.3,-3.7,-3.6,-8,-249.8,-342.8,-441,-320.3
Harrowing,WeatherGreven,tt2015,-287.3,139,-16.7,-267.8,-326.3,139,-21.5,-115.3,-514,-500,-500,-228.8,-190.6,-248.3,-228.8,-248.3,-52.3,-327.5,-190.6,-306.8,-430.7,-52.3,-83.8,-86.5,-365.3,-41.2,-40.4,-79.3,-228.8,-345.8,-361.7,-234.6
Harrowing,WeatherKoelnBonn,tt1999,-333.5,205.7,-23.4,-314.5,-371.8,205.7,-29,-127.9,-606.3,-592.3,-592.3,-277.1,-240.9,-295.6,-277.1,-295.6,-64.9,-420.8,-240.9,-352.5,-522.5,-64.9,-96.4,-99.1,-410.8,-53.2,-52.3,-91.9,-277.1,-391.3,-454.2,-324.6
Harrowing,WeatherKoelnBonn,tt2000,-349.9,234.5,-28.2,-331.9,-385.9,234.5,-32.4,-98.4,-595.5,-582.1,-582.1,-295.9,-259.9,-313.9,-295.9,-313.9,-56.4,-417.6,-259.9,-367.9,-515.5,-56.4,-77.4,-79.2,-421.9,-48.6,-48,-74.4,-295.9,-403.9,-449.5,-325.6
Harrowing,WeatherKoelnBonn,tt2001,-380.2,145.6,8.3,-358.1,-425.2,145.6,-3.5,-81.9,-626.3,-611.1,-611.1,-316.1,-275.4,-336.6,-316.1,-336.6,-36.2,-434.1,-275.4,-402.7,-536.5,-36.2,-64.4,-51.4,-470.9,-21.2,-20.9,-48.2,-316.1,-447.9,-466.5,-343.1
Harrowing,WeatherKoelnBonn,tt2002,-333,181,-21.2,-312,-375,181,-26.2,-147.9,-606.1,-591.7,-591.7,-270,-228,-291,-270,-291,-63.9,-413.6,-228,-354,-519.7,-63.9,-105.9,-109.5,-417,-49.5,-48.5,-99.9,-270,-396,-448.4,-314.4
Harrowing,WeatherKoelnBonn,tt2003,-310.7,213.5,-19.1,-294.7,-343.6,213.5,-23.3,-89.3,-596.1,-582.7,-582.7,-262.7,-231.7,-278.7,-262.7,-278.7,-47.3,-422.7,-231.7,-326.7,-517.2,-47.3,-68.3,-70.1,-379.2,-39.5,-38.9,-65.3,-262.7,-361.2,-454.2,-332.6
Harrowing,WeatherKoelnBonn,tt2004,-353.7,131.5,-7.5,-332.7,-395.7,131.5,-12.1,-134.2,-584,-570.5,-570.5,-290.7,-249.7,-311.7,-290.7,-311.7,-50.2,-410,-249.7,-374.7,-504.2,-50.2,-92.2,-95.8,-437.7,-35.4,-34.4,-86.2,-290.7,-416.7,-440.6,-326.5
Harrowing,WeatherKoelnBonn,tt2005,-559.5,25.8,-88.1,-530.5,-617.5,25.8,-99.2,-377.5,-868.7,-852.2,-852.2,-472.5,-415.1,-501.5,-472.5,-501.5,-182,-650.5,-415.1,-588.5,-770.7,-182,-279.5,-287.9,-675.5,-152,-149.9,-265.5,-472.5,-646.5,-690.5,-534.8
Harrowing,WeatherKoelnBonn,tt2006,-309.8,177.8,-43.3,-291.3,-347.7,177.8,-48.2,-133,-482.6,-470.7,-470.7,-254.3,-217.9,-272.8,-254.3,-272.8,-77,-337.4,-217.9,-328.7,-413.1,-77,-105,-107.4,-385.7,-67.1,-66.4,-101,-254.3,-366.7,-361.6,-267.4
Harrowing,WeatherKoelnBonn,tt2007,-376.4,261.3,-9.3,-359.9,-409.4,261.3,-11.4,-44.4,-651.7,-638.9,-638.9,-326.9,-293.9,-343.4,-326.9,-343.4,-23.4,-481.1,-293.9,-392.9,-575,-23.4,-33.9,-34.8,-442.4,-19.5,-19.2,-32.4,-326.9,-425.9,-512,-391.9
Harrowing,WeatherKoelnBonn,tt2008,-350.8,205.1,-15.1,-329.8,-392.8,205.1,-16.5,-94.3,-579.9,-565.9,-565.9,-289.2,-251.2,-309,-289.2,-309,-37.4,-397.5,-251.2,-371.8,-497.5,-37.4,-76.8,-64.1,-434.8,-33.5,-33.2,-60.9,-289.2,-413.8,-430.4,-310.4
Harrowing,WeatherKoelnBonn,tt2009,-362,239.1,-5.4,-345,-396,239.1,-7.5,-49.5,-583.9,-570.9,-570.9,-311,-277,-328,-311,-328,-21.5,-408.4,-277,-379,-505.9,-21.5,-35.5,-36.7,-430,-16.3,-15.9,-33.5,-311,-413,-440.9,-318.7
Harrowing,WeatherKoelnBonn,tt2010,-296.8,132.1,-0.7,-276.8,-336.8,132.1,-1.4,-88.3,-540.2,-527.3,-527.3,-236.8,-196.8,-256.8,-236.8,-256.8,-20.1,-374.6,-196.8,-316.8,-465.1,-20.1,-53.3,-56.3,-376.8,-10.4,-9.9,-48.3,-236.8,-356.8,-404.6,-286.1
Harrowing,WeatherKoelnBonn,tt2011,-339.7,282.9,-2.2,-324.2,-370.7,282.9,-2.9,-13.9,-590,-577.6,-577.6,-293.2,-262.2,-308.7,-293.2,-308.7,-6.9,-427.6,-262.2,-355.2,-516.6,-6.9,-10.4,-10.7,-401.7,-5.6,-5.5,-9.9,-293.2,-386.2,-456.4,-344.5
Harrowing,WeatherKoelnBonn,tt2012,-237.2,258.7,-8.6,-220.7,-270.2,258.7,-10.7,-43.7,-542.5,-529.7,-529.7,-187.7,-155.9,-204.2,-187.7,-204.2,-22.7,-370,-155.9,-253.7,-465.7,-22.7,-33.2,-34.1,-303.2,-18.8,-18.5,-31.7,-187.7,-286.7,-401.7,-276.8
Harrowing,WeatherKoelnBonn,tt2013,-248.1,169.8,-7,-233.5,-279.1,169.8,-9.1,-42.1,-373.7,-363.7,-363.7,-206,-179.5,-219.5,-206,-219.5,-21.1,-256.3,-179.5,-263.4,-316.2,-21.1,-31.6,-32.5,-311.8,-17.2,-16.9,-30.1,-206,-295.3,-274.8,-205.2
Harrowing,WeatherKoelnBonn,tt2014,-407.6,160.9,-9.6,-386.6,-449.6,160.9,-14.5,-141.3,-726.5,-711.9,-711.9,-344.6,-302.6,-365.6,-344.6,-365.6,-57.3,-529.7,-302.6,-428.6,-638.9,-57.3,-99.3,-102.9,-491.6,-41.7,-40.5,-93.3,-344.6,-470.6,-565.9,-424.5
Harrowing,WeatherKoelnBonn,tt2015,-317.4,163.9,-21.9,-297.9,-356.4,163.9,-26.8,-121.4,-555,-541,-541,-258.9,-220.6,-278.4,-258.9,-278.4,-58.4,-366,-220.6,-336.9,-471,-58.4,-89.9,-92.6,-395.4,-47.6,-46.8,-85.4,-258.9,-375.9,-401,-268.3
Intense,WeatherAachen,tt1999,-58.9,221,-17.2,-56.4,-75.7,221,-21.9,-98.9,-79.9,-78.7,-66.4,-51.4,-36.8,-53.9,-51.4,-53.9,-49.9,-53.9,-36.8,-61.4,-61.4,-49.9,-74.4,-76.5,-81.7,-40.8,-40.1,-70.9,-51.4,-78.7,-56.4,-36.8
Intense,WeatherAachen,tt2000,-62.9,229.8,-20.4,-51.6,-67.9,229.8,-24,-90,-71.4,-70.4,-59.6,-47.6,-43.6,-49.6,-47.6,-49.6,-48,-49.6,-43.6,-65.4,-65.4,-48,-69,-70.8,-72.9,-40.2,-39.6,-66,-47.6,-70.4,-51.6,-43.6
Intense,WeatherAachen,tt2001,-91.4,151,-6.4,-88.4,-97.4,151,-16.2,-106.4,-101.6,-100.4,-100.4,-82.4,-62.1,-85.4,-82.4,-85.4,-40.1,-85.4,-62.1,-94.4,-94.4,-40.1,-85.4,-87.2,-103.4,-34.9,-34.5,-82.4,-82.4,-100.4,-88.4,-62.1
Intense,WeatherAachen,tt2002,-155.5,149.8,-24.1,-138.7,-171.5,149.8,-31.1,-183.7,-190.7,-187.3,-179.5,-123.7,-101.6,-131.2,-123.7,-131.2,-79.1,-131.2,-101.6,-163.5,-163.5,-79.1,-131.2,-135.7,-195.8,-62.2,-60.9,-123.7,-123.7,-187.3,-138.7,-101.6
Intense,WeatherAachen,tt2003,-148.2,203.4,-16.9,-142.2,-160.2,203.4,-20.4,-75.4,-168.6,-166.2,-166.2,-118.6,-107.6,-136.2,-118.6,-136.2,-40.4,-136.2,-107.6,-154.2,-154.2,-40.4,-57.9,-59.4,-172.2,-33.9,-33.4,-55.4,-118.6,-166.2,-142.2,-107.6
Intense,WeatherAachen,tt2004,-129.3,120.2,-9.6,-121.8,-157.9,120.2,-14,-166.8,-169.1,-165.9,-151.8,-106.8,-82.8,-114.3,-106.8,-114.3,-61.8,-114.3,-82.8,-149.9,-149.9,-61.8,-114.3,-118.8,-173.9,-44,-42.7,-106.8,-106.8,-165.9,-121.8,-82.8
Intense,WeatherAachen,tt2005,-143.2,155,-23,-135.2,-172,155,-25.7,-166.4,-183.9,-180.5,-180.5,-119.2,-91.4,-127.2,-119.2,-127.2,-61.6,-127.2,-91.4,-163.5,-163.5,-61.6,-113.9,-118.4,-189,-45.9,-44.8,-106.4,-119.2,-180.5,-135.2,-91.4
Intense,WeatherAachen,tt2006,-73.5,137.8,-16.8,-71,-78.5,137.8,-18.9,-86,-82,-81,-81,-66,-61,-68.5,-66,-68.5,-40.5,-68.5,-61,-76,-76,-40.5,-68.5,-70,-83.5,-35.3,-34.9,-66,-66,-81,-71,-61
Intense,WeatherAachen,tt2007,-139.8,292.1,20.5,-134.8,-149.8,292.1,20.5,20.5,-156.8,-154.8,-154.8,-124.8,-114.8,-129.8,-124.8,-129.8,20.5,-129.8,-114.8,-144.8,-144.8,20.5,20.5,20.5,-168.4,20.5,20.5,20.5,-124.8,-154.8,-134.8,-114.8
Intense,WeatherAachen,tt2008,-133.1,211.8,-43.2,-128.1,-143.1,211.8,-49.1,-158.1,-161.1,-158.9,-148.1,-112.1,-96.8,-116.6,-112.1,-116.6,-88.1,-116.6,-96.8,-138.1,-138.1,-88.1,-123.1,-126.1,-164.4,-75.1,-74.1,-118.1,-112.1,-158.9,-128.1,-96.8
Intense,WeatherAachen,tt2009,-107.3,199.9,-11,-101.8,-126.6,199.9,-15.6,-111.9,-135,-132.6,-123.8,-84.4,-66.9,-89.4,-84.4,-89.4,-48.9,-89.4,-66.9,-112.8,-112.8,-48.9,-80.4,-83.1,-138.6,-37.2,-36.3,-75.9,-84.4,-132.6,-101.8,-66.9
Intense,WeatherAachen,tt2010,-108.7,115.5,-0.6,-100.2,-141.3,115.5,-1.3,-115.8,-153.9,-150.3,-134.2,-83.2,-66.2,-91.7,-83.2,-91.7,-18,-91.7,-66.2,-132.3,-132.3,-18,-63.3,-67.8,-159.3,-9.8,-9.2,-55.8,-83.2,-150.3,-100.2,-66.2
Intense,WeatherAachen,tt2011,-132.3,243.4,-0.5,-126.3,-144.3,243.4,-1.2,-29.7,-152.7,-150.3,-150.3,-114.3,-90,-120.3,-114.3,-120.3,-8.7,-120.3,-90,-138.3,-138.3,-8.7,-19.2,-20.1,-156.3,-5.1,-4.9,-17.7,-114.3,-150.3,-126.3,-90
Intense,WeatherAachen,tt2012,-82.7,204.5,-8.9,-78.2,-105,204.5,-11.7,-89.1,-112,-110,-110,-57.1,-38.9,-73.7,-57.1,-73.7,-33.8,-73.7,-38.9,-100,-100,-33.8,-61.1,-63.5,-130.5,-25.8,-25.2,-57.1,-57.1,-110,-78.2,-38.9
Intense,WeatherAachen,tt2013,-107.1,117.8,-5.6,-101.1,-119.1,117.8,-9.1,-64.1,-137.3,-125.1,-125.1,-78.4,-67.4,-83.9,-78.4,-83.9,-29.1,-83.9,-67.4,-113.1,-113.1,-29.1,-46.6,-48.1,-141.2,-22.6,-22.1,-44.1,-78.4,-125.1,-101.1,-67.4
Intense,WeatherAachen,tt2014,-116,187.5,-0.4,-110,-137.2,187.5,-1.1,-29.4,-158.6,-143.7,-143.7,-90.6,-70.6,-96.1,-90.6,-96.1,-8.4,-96.1,-70.6,-130.7,-130.7,-8.4,-18.9,-19.8,-162.8,-4.8,-4.6,-17.4,-90.6,-143.7,-110,-70.6
Intense,WeatherAachen,tt2015,-94.3,135,-13.8,-84.8,-111.3,135,-17.5,-111.8,-119,-116.8,-109.3,-66.4,-51.3,-76.2,-66.4,-76.2,-48.8,-76.2,-51.3,-99.3,-99.3,-48.8,-80.3,-83,-127.7,-37.8,-37,-75.8,-66.4,-116.8,-84.8,-51.3
Intense,WeatherBadLippspringe,tt1999,-144,48.5,12.9,-137.5,-167.1,48.5,-9.6,-188.1,-176.9,-174.1,-163.5,-120.2,-105.4,-126.2,-120.2,-126.2,-70.2,-126.2,-105.4,-150.5,-150.5,-70.2,-131,-129.8,-181.1,-49.6,-48.8,-120.2,-120.2,-174.1,-137.5,-105.4
Intense,WeatherBadLippspringe,tt2000,-266.2,17.2,-58,-255.7,-287.2,17.2,-71.3,-318.7,-301.9,-297.7,-279,-219,-199,-229,-219,-229,-159,-229,-199,-276.7,-276.7,-159,-245.2,-251.5,-308.2,-133,-131,-219,-219,-297.7,-255.7,-199
Intense,WeatherBadLippspringe,tt2001,-257.8,27.1,-77.3,-246.8,-287.2,27.1,-91.2,-390,-303.3,-298.7,-290.8,-218.6,-197.6,-235.8,-218.6,-235.8,-194,-235.8,-197.6,-268.8,-268.8,-194,-292,-300.4,-310.2,-158.5,-155.8,-278,-218.6,-298.7,-246.8,-197.6
Intense,WeatherBadLippspringe,tt2002,-154,34.9,-21.4,-148,-178.2,34.9,-31.3,-197.7,-187.3,-184.7,-172,-136,-124,-142,-136,-142,-94.1,-142,-124,-171.7,-171.7,-94.1,-152.2,-145.6,-191.2,-71.7,-70.7,-136,-136,-184.7,-148,-124
Intense,WeatherBadLippspringe,tt2003,-133.4,68.4,27.8,-126.4,-147.4,68.4,7.3,-182.2,-157.2,-154.4,-154.4,-112.4,-89.7,-119.4,-112.4,-119.4,-56.8,-119.4,-89.7,-140.4,-140.4,-56.8,-119.4,-123.6,-161.4,-34.4,-33.7,-112.4,-112.4,-154.4,-126.4,-89.7
Intense,WeatherBadLippspringe,tt2004,-75.6,33.7,105.9,-70.6,-97,33.7,91.5,-113.5,-104.7,-102.5,-90.6,-50.3,-31.8,-65.6,-50.3,-65.6,-2.9,-65.6,-31.8,-80.6,-80.6,-2.9,-65.6,-68.6,-108,27,27,-50.3,-50.3,-102.5,-70.6,-31.8
Intense,WeatherBadLippspringe,tt2005,-78.1,136.8,-21.4,-71.6,-104.4,136.8,-25,-166.1,-114.2,-111.4,-97.6,-58.6,-38.6,-65.1,-58.6,-65.1,-58.3,-65.1,-38.6,-84.6,-84.6,-58.3,-110.1,-114.9,-118.4,-45.1,-44.2,-102.1,-58.6,-111.4,-71.6,-38.6
Intense,WeatherBadLippspringe,tt2006,-56.4,137,9.5,-54.4,-60.4,137,-4.9,-66.4,-63.2,-62.4,-46.3,-37.3,-34.3,-38.8,-37.3,-38.8,-28.3,-38.8,-34.3,-58.4,-58.4,-28.3,-52.4,-53.6,-64.4,-15.6,-15.4,-37.3,-37.3,-62.4,-54.4,-34.3
Intense,WeatherBadLippspringe,tt2007,-61,270.8,5.7,-59,-65,270.8,5.7,5.7,-67.8,-67,-67,-40.2,-37.2,-41.7,-40.2,-41.7,5.7,-41.7,-37.2,-63,-63,5.7,5.7,5.7,-69,5.7,5.7,5.7,-40.2,-67,-59,-37.2
Intense,WeatherBadLippspringe,tt2008,-64.2,238.1,-11.9,-61.2,-79.2,238.1,-14.7,-89.7,-84.1,-82.7,-73.2,-49.5,-38.7,-58.2,-49.5,-58.2,-40.7,-58.2,-38.7,-75.7,-75.7,-40.7,-65.2,-67.3,-86.2,-31.6,-30.9,-61.7,-49.5,-82.7,-61.2,-38.7
Intense,WeatherBadLippspringe,tt2009,-58.2,220.4,-1.1,-54.7,-77.3,220.4,-2.5,-44.2,-82.9,-81.3,-68.7,-41.4,-30.9,-51.2,-41.4,-51.2,-16.2,-51.2,-30.9,-73.3,-73.3,-16.2,-30.2,-31.4,-85.3,-11,-10.6,-28.2,-41.4,-81.3,-54.7,-30.9
Intense,WeatherBadLippspringe,tt2010,-38.7,109.3,-0.1,-36.2,-61,109.3,-0.8,-36,-65.2,-64,-64,-31.2,-16,-33.7,-31.2,-33.7,-8.3,-33.7,-16,-58,-58,-8.3,-22,-23.2,-67,-5.3,-5.1,-20,-31.2,-64,-36.2,-16
Intense,WeatherBadLippspringe,tt2011,-68.2,254.7,0,-53.4,-74.2,254.7,0,0,-78.4,-77.2,-63.4,-48.4,-43.4,-50.9,-48.4,-50.9,0,-50.9,-43.4,-71.2,-71.2,0,0,0,-80.2,0,0,0,-48.4,-77.2,-53.4,-43.4
Intense,WeatherBadLippspringe,tt2012,-38.9,232.6,-11.3,-37.4,-41.9,232.6,-13.4,-46.4,-44,-43.4,-43.4,-34.4,-31.4,-35.9,-34.4,-35.9,-25.4,-35.9,-31.4,-40.4,-40.4,-25.4,-35.9,-36.8,-62.2,-21.5,-21.2,-34.4,-34.4,-43.4,-37.4,-31.4
