,,,'Alopecurus myo','Digitaria isch','Echinochloa cr','Elymus repens','Poa annua L.','Setaria viridi','Amaranthus ret','Atriplex patul','Brassica napus','Capsella bursa','Chenopodium al','Cirsium arvens','Convolvulus ar','Equisetum arve','Fallopia convo','Fumaria offici','Galinsoga parv','Galium aparine','Geranium pusil','Lamium album L.','Matricaria rec','Mercurialis an','Persicaria lap','Persicaria mac','Polygonum avic','Rumex obtusifo','Solanum nigrum','Sonchus arvens','Stellaria medi','Thlaspi arvens','Veronica arven','Viola arvensis'
Nothing,WeatherBrilon,tt2001,-448.2,0,-72.3,-420.7,-505.4,-4.5,-86.8,-426.7,-635.3,-619.9,-619.9,-366.8,-315,-393.4,-366.8,-393.4,-193.8,-433.8,-315,-476.6,-543.1,-193.8,-307.7,-317.9,-564,-154.3,-151.4,-290.7,-366.8,-534.4,-469,-334.4
Nothing,WeatherBrilon,tt2002,-343.7,46.1,-39.3,-318.2,-395.6,46.1,-49.5,-279.9,-552.4,-537,-537,-271.3,-229.8,-293.6,-271.3,-293.6,-121.3,-355.9,-229.8,-369.6,-461.6,-121.3,-199.4,-206.3,-447.8,-96.6,-94.7,-187.9,-271.3,-421.6,-389.9,-267.2
Nothing,WeatherBrilon,tt2003,-304.1,113.9,-19.4,-285.6,-342.1,113.9,-23.8,-177.2,-513.7,-499.5,-499.5,-249.3,-214.2,-267.3,-249.3,-267.3,-68.3,-341.5,-214.2,-322.7,-432.2,-68.3,-121.2,-126,-382.9,-51.4,-50.1,-113.2,-249.3,-362.4,-371,-262.6
Nothing,WeatherBrilon,tt2004,-280.8,70.7,-0.8,-260.3,-322.3,70.7,-3.2,-146.9,-447.1,-434.7,-434.7,-221,-183.3,-240.5,-221,-240.5,-39.1,-296.5,-183.3,-301.3,-376.2,-39.1,-90.9,-95.7,-367.6,-23.8,-22.7,-82.9,-221,-344.6,-322.3,-223.5
Nothing,WeatherBrilon,tt2005,-445.4,6.2,-71.3,-416.4,-503.4,6.2,-80.1,-331.5,-674.9,-659.5,-659.5,-358.7,-305.9,-387.4,-358.7,-387.4,-145.6,-471.3,-305.9,-474.4,-583.8,-145.6,-230,-238.7,-562.1,-121.8,-120,-215.5,-358.7,-532.6,-508.8,-366.1
Nothing,WeatherBrilon,tt2006,-332.5,39.9,-43.9,-310.5,-379.2,39.9,-54.4,-257.2,-474.4,-462.8,-462.8,-269,-229.5,-289.5,-269,-289.5,-124.8,-326.3,-229.5,-355.4,-405,-124.8,-190.7,-196.4,-427.2,-101.4,-99.6,-181.2,-269,-403.2,-351.3,-255.7
Nothing,WeatherBrilon,tt2007,-317.8,164.1,-4.8,-299,-355.8,164.1,-8.1,-92.1,-521.2,-508.2,-508.2,-262.9,-227.4,-280.9,-262.9,-280.9,-36.1,-350.4,-227.4,-336.8,-444,-36.1,-64.1,-66.5,-393.8,-25.7,-24.9,-60.1,-262.9,-374.8,-380.5,-264.2
Nothing,WeatherBrilon,tt2008,-273.3,118.3,-29.9,-252.8,-315,118.3,-37.7,-197,-431.1,-418.3,-418.3,-215.4,-181.8,-233.6,-215.4,-233.6,-92,-271.2,-181.8,-294,-357,-92,-144.5,-149,-358.7,-72.5,-71,-137,-215.4,-336.7,-298.8,-197
Nothing,WeatherBrilon,tt2009,-364.8,134.6,-4,-343.3,-407.8,134.6,-7.5,-138.1,-517.1,-502.9,-502.9,-300.3,-257.3,-321.8,-300.3,-321.8,-47.3,-338.1,-257.3,-386.3,-433,-47.3,-92.6,-96.5,-450.8,-32.4,-31.3,-86.1,-300.3,-429.3,-368.5,-260.5
Nothing,WeatherBrilon,tt2010,-287.7,31,-9.6,-261.4,-341.6,31,-12.4,-188.1,-499.8,-485.1,-485.1,-212.1,-166.5,-236.2,-212.1,-236.2,-40.2,-313.2,-166.5,-314.6,-414.2,-40.2,-104.6,-111.5,-395.6,-27.2,-26.3,-93.4,-212.1,-368.6,-345.9,-221
Nothing,WeatherBrilon,tt2011,-265.2,144,-29.3,-251.2,-293.2,144,-34.2,-142.1,-563.6,-550,-550,-223.2,-196.4,-237.2,-223.2,-237.2,-64.7,-386.5,-196.4,-279.2,-483.2,-64.7,-100.1,-103.7,-321.2,-53.1,-52.4,-94.1,-223.2,-307.2,-417.6,-299.2
Nothing,WeatherBrilon,tt2012,-253.8,140.3,-23.5,-233.8,-294.9,140.3,-29.1,-157,-504.7,-489.9,-489.9,-195.5,-159.9,-214.4,-195.5,-214.4,-64.1,-313.2,-159.9,-273.9,-416.8,-64.1,-108,-112.2,-337.7,-52.4,-51.5,-101,-195.5,-316,-346.4,-223.6
