year, name, alpha_plus, alpha_minus, lambda, phi_plus, phi_minus, k, strategy, fuzzy_action1, fuzzy_action2, fuzzy_action3, fuzzy_action4, fuzzy_action5, fuzzy_action6, lp_action1, lp_action2, lp_action3, income
2, Farm05, 0.4, 0.2, 0.8, 0.2, 0.2, 0.8, REPITITION, pigs, NA, NA, NA, NA, NA, pigs, NA, NA, 44480.0, 
0, Farm01, 0.6, 0.2, 0.8, 0.2, 0.2, 0.8, REPITITION, cattle, NA, NA, NA, NA, NA, cattle, NA, NA, 61383.0, 
0, Farm02, 0.6, 0.2, 0.8, 0.2, 0.2, 0.8, REPITITION, wheat, eggplants, NA, NA, NA, NA, eggplants, NA, NA, 50700.0, 
0, Farm03, 0.6, 0.2, 0.8, 0.2, 0.2, 0.8, IMITATION, cattle, pigs, sheep, NA, NA, NA, pigs, sheep, NA, 48418.0, 
0, Farm04, 0.6, 0.2, 0.8, 0.2, 0.2, 0.8, REPITITION, wheat, NA, NA, NA, NA, NA, wheat, NA, NA, 43969.0, 
0, Farm05, 0.6, 0.2, 0.8, 0.2, 0.2, 0.8, REPITITION, wheat, pigs, NA, NA, NA, NA, pigs, NA, NA, 49454.0, 
1, Farm01, 0.6, 0.2, 0.8, 0.2, 0.2, 0.8, REPITITION, cattle, NA, NA, NA, NA, NA, cattle, NA, NA, 52525.0, 
1, Farm02, 0.6, 0.2, 0.8, 0.2, 0.2, 0.8, REPITITION, eggplants, NA, NA, NA, NA, NA, eggplants, NA, NA, 28791.0, 
1, Farm03, 0.6, 0.2, 0.8, 0.2, 0.2, 0.8, REPITITION, pigs, sheep, NA, NA, NA, NA, sheep, NA, NA, 27086.0, 
1, Farm04, 0.6, 0.2, 0.8, 0.2, 0.2, 0.8, REPITITION, wheat, NA, NA, NA, NA, NA, wheat, NA, NA, 42242.0, 
1, Farm05, 0.6, 0.2, 0.8, 0.2, 0.2, 0.8, REPITITION, pigs, NA, NA, NA, NA, NA, pigs, NA, NA, 42034.0, 
2, Farm01, 0.6, 0.2, 0.8, 0.2, 0.2, 0.8, REPITITION, cattle, NA, NA, NA, NA, NA, cattle, NA, NA, 60593.0, 
2, Farm02, 0.6, 0.2, 0.8, 0.2, 0.2, 0.8, REPITITION, eggplants, NA, NA, NA, NA, NA, eggplants, NA, NA, 46422.0, 
2, Farm03, 0.6, 0.2, 0.8, 0.2, 0.2, 0.8, IMITATION, cattle, pigs, sheep, NA, NA, NA, pigs, sheep, NA, 48335.0, 
2, Farm04, 0.6, 0.2, 0.8, 0.2, 0.2, 0.8, REPITITION, wheat, NA, NA, NA, NA, NA, wheat, NA, NA, 50638.0, 
2, Farm05, 0.6, 0.2, 0.8, 0.2, 0.2, 0.8, REPITITION, pigs, NA, NA, NA, NA, NA, pigs, NA, NA, 35549.0, 
0, Farm01, 0.8, 0.2, 0.8, 0.2, 0.2, 0.8, REPITITION, cattle, NA, NA, NA, NA, NA, cattle, NA, NA, 52641.0, 
0, Farm02, 0.8, 0.2, 0.8, 0.2, 0.2, 0.8, REPITITION, wheat, eggplants, NA, NA, NA, NA, eggplants, NA, NA, 44835.0, 
0, Farm03, 0.8, 0.2, 0.8, 0.2, 0.2, 0.8, IMITATION, cattle, pigs, sheep, NA, NA, NA, pigs, sheep, NA, 33707.0, 
0, Farm04, 0.8, 0.2, 0.8, 0.2, 0.2, 0.8, REPITITION, wheat, NA, NA, NA, NA, NA, wheat, NA, NA, 28082.0, 
0, Farm05, 0.8, 0.2, 0.8, 0.2, 0.2, 0.8, REPITITION, wheat, pigs, NA, NA, NA, NA, pigs, NA, NA, 42136.0, 
1, Farm01, 0.8, 0.2, 0.8, 0.2, 0.2, 0.8, REPITITION, cattle, NA, NA, NA, NA, NA, cattle, NA, NA, 64506.0, 
1, Farm02, 0.8, 0.2, 0.8, 0.2, 0.2, 0.8, REPITITION, eggplants, NA, NA, NA, NA, NA, eggplants, NA, NA, 41715.0, 
1, Farm03, 0.8, 0.2, 0.8, 0.2, 0.2, 0.8, REPITITION, pigs, sheep, NA, NA, NA, NA, sheep, NA, NA, 70951.0, 
1, Farm04, 0.8, 0.2, 0.8, 0.2, 0.2, 0.8, REPITITION, wheat, NA, NA, NA, NA, NA, wheat, NA, NA, 49491.0, 
1, Farm05, 0.8, 0.2, 0.8, 0.2, 0.2, 0.8, REPITITION, pigs, NA, NA, NA, NA, NA, pigs, NA, NA, 58924.0, 
2, Farm01, 0.8, 0.2, 0.8, 0.2, 0.2, 0.8, REPITITION, cattle, NA, NA, NA, NA, NA, cattle, NA, NA, 52554.0, 
2, Farm02, 0.8, 0.2, 0.8, 0.2, 0.2, 0.8, REPITITION, eggplants, NA, NA, NA, NA, NA, eggplants, NA, NA, 44567.0, 
2, Farm03, 0.8, 0.2, 0.8, 0.2, 0.2, 0.8, IMITATION, cattle, pigs, sheep, NA, NA, NA, pigs, sheep, NA, 69078.0, 
2, Farm04, 0.8, 0.2, 0.8, 0.2, 0.2, 0.8, REPITITION, wheat, NA, NA, NA, NA, NA, wheat, NA, NA, 59028.0, 
2, Farm05, 0.8, 0.2, 0.8, 0.2, 0.2, 0.8, REPITITION, pigs, NA, NA, NA, NA, NA, pigs, NA, NA, 33944.0, 
0, Farm01, 0.2, 0.4, 0.8, 0.2, 0.2, 0.8, REPITITION, cattle, NA, NA, NA, NA, NA, cattle, NA, NA, 47851.0, 
0, Farm02, 0.2, 0.4, 0.8, 0.2, 0.2, 0.8, REPITITION, wheat, eggplants, NA, NA, NA, NA, eggplants, NA, NA, 48309.0, 
0, Farm03, 0.2, 0.4, 0.8, 0.2, 0.2, 0.8, IMITATION, cattle, pigs, sheep, NA, NA, NA, pigs, sheep, NA, 51059.0, 
0, Farm04, 0.2, 0.4, 0.8, 0.2, 0.2, 0.8, REPITITION, wheat, NA, NA, NA, NA, NA, wheat, NA, NA, 56026.0, 
0, Farm05, 0.2, 0.4, 0.8, 0.2, 0.2, 0.8, REPITITION, wheat, pigs, NA, NA, NA, NA, pigs, NA, NA, 42772.0, 
1, Farm01, 0.2, 0.4, 0.8, 0.2, 0.2, 0.8, REPITITION, cattle, NA, NA, NA, NA, NA, cattle, NA, NA, 54736.0, 
1, Farm02, 0.2, 0.4, 0.8, 0.2, 0.2, 0.8, REPITITION, eggplants, NA, NA, NA, NA, NA, eggplants, NA, NA, 52306.0, 
1, Farm03, 0.2, 0.4, 0.8, 0.2, 0.2, 0.8, REPITITION, pigs, sheep, NA, NA, NA, NA, sheep, NA, NA, 56829.0, 
1, Farm04, 0.2, 0.4, 0.8, 0.2, 0.2, 0.8, REPITITION, wheat, NA, NA, NA, NA, NA, wheat, NA, NA, 54563.0, 
1, Farm05, 0.2, 0.4, 0.8, 0.2, 0.2, 0.8, REPITITION, pigs, NA, NA, NA, NA, NA, pigs, NA, NA, 55846.0, 
2, Farm01, 0.2, 0.4, 0.8, 0.2, 0.2, 0.8, REPITITION, cattle, NA, NA, NA, NA, NA, cattle, NA, NA, 53415.0, 
2, Farm02, 0.2, 0.4, 0.8, 0.2, 0.2, 0.8, REPITITION, eggplants, NA, NA, NA, NA, NA, eggplants, NA, NA, 40745.0, 
2, Farm03, 0.2, 0.4, 0.8, 0.2, 0.2, 0.8, IMITATION, cattle, pigs, sheep, NA, NA, NA, pigs, sheep, NA, 40575.0, 
2, Farm04, 0.2, 0.4, 0.8, 0.2, 0.2, 0.8, REPITITION, wheat, NA, NA, NA, NA, NA, wheat, NA, NA, 72248.0, 
2, Farm05, 0.2, 0.4, 0.8, 0.2, 0.2, 0.8, REPITITION, pigs, NA, NA, NA, NA, NA, pigs, NA, NA, 46920.0, 
0, Farm01, 0.4, 0.4, 0.8, 0.2, 0.2, 0.8, REPITITION, cattle, NA, NA, NA, NA, NA, cattle, NA, NA, 62044.0, 
0, Farm02, 0.4, 0.4, 0.8, 0.2, 0.2, 0.8, REPITITION, wheat, eggplants, NA, NA, NA, NA, eggplants, NA, NA, 55688.0, 
0, Farm03, 0.4, 0.4, 0.8, 0.2, 0.2, 0.8, IMITATION, cattle, pigs, sheep, NA, NA, NA, pigs, sheep, NA, 58870.0, 
0, Farm04, 0.4, 0.4, 0.8, 0.2, 0.2, 0.8, REPITITION, wheat, NA, NA, NA, NA, NA, wheat, NA, NA, 62422.0, 
0, Farm05, 0.4, 0.4, 0.8, 0.2, 0.2, 0.8, REPITITION, wheat, pigs, NA, NA, NA, NA, pigs, NA, NA, 54242.0, 
1, Farm01, 0.4, 0.4, 0.8, 0.2, 0.2, 0.8, REPITITION, cattle, NA, NA, NA, NA, NA, cattle, NA, NA, 71308.0, 
1, Farm02, 0.4, 0.4, 0.8, 0.2, 0.2, 0.8, REPITITION, eggplants, NA, NA, NA, NA, NA, eggplants, NA, NA, 41848.0, 
1, Farm03, 0.4, 0.4, 0.8, 0.2, 0.2, 0.8, REPITITION, pigs, sheep, NA, NA, NA, NA, sheep, NA, NA, 83609.0, 
1, Farm04, 0.4, 0.4, 0.8, 0.2, 0.2, 0.8, REPITITION, wheat, NA, NA, NA, NA, NA, wheat, NA, NA, 50238.0, 
1, Farm05, 0.4, 0.4, 0.8, 0.2, 0.2, 0.8, REPITITION, pigs, NA, NA, NA, NA, NA, pigs, NA, NA, 27242.0, 
2, Farm01, 0.4, 0.4, 0.8, 0.2, 0.2, 0.8, REPITITION, cattle, NA, NA, NA, NA, NA, cattle, NA, NA, 42594.0, 
2, Farm02, 0.4, 0.4, 0.8, 0.2, 0.2, 0.8, REPITITION, eggplants, NA, NA, NA, NA, NA, eggplants, NA, NA, 55550.0, 
